Código Modular,Total Programado,N° tabletas programadas docente,N° tabletas programadas estudiantes,Total actualizado,N° de tabletas actualizadas de docentes,N° tabletas actualizadas de estudiantes
293316,1,0,1,0,0,0
293324,1,1,0,1,1,0
1412485,1,1,0,1,1,0
749226,10,3,7,10,3,7
1175330,7,2,5,7,2,5
1412378,2,1,1,2,1,1
1223338,71,8,63,71,8,63
1478718,58,8,50,58,8,50
471011,1,0,1,1,0,1
1220649,5,3,2,5,3,2
517227,1,0,1,1,0,1
1459395,5,2,3,5,2,3
590026,41,2,39,41,2,39
712992,1,0,1,1,0,1
713388,4,1,3,4,1,3
712190,8,1,7,5,1,4
854067,5,1,4,3,1,2
807420,4,1,3,4,1,3
631648,19,1,18,19,1,18
631408,33,1,32,33,1,32
1167402,2,0,2,2,0,2
1167840,3,3,0,3,3,0
269290,1,0,1,1,0,1
212688,1,1,0,1,1,0
213611,3,1,2,0,0,0
213629,1,0,1,0,0,0
213892,1,0,1,1,0,1
1251339,101,12,89,101,12,89
367276,1,1,0,0,0,0
1451699,2,1,1,2,1,1
1167592,7,3,4,7,3,4
367318,5,1,4,5,1,4
687640,6,1,5,6,1,5
367433,14,1,13,14,1,13
367458,7,1,6,5,1,4
268656,40,1,39,40,1,39
1399708,78,7,71,78,7,71
214650,3,1,2,3,1,2
267062,22,1,21,22,1,21
1458157,3,2,1,3,2,1
367649,1,1,0,1,1,0
214015,1,0,1,1,0,1
1458256,1,1,0,0,0,0
268714,1,0,1,1,0,1
268128,24,1,23,23,0,23
1454834,1,1,0,1,1,0
214056,36,1,35,36,1,35
1582758,1,1,0,1,1,0
560250,49,6,43,49,6,43
213173,15,1,14,15,1,14
214098,1,0,1,1,0,1
475475,3,1,2,3,1,2
1165976,27,1,26,27,1,26
622225,1,0,1,0,0,0
724666,4,4,0,4,4,0
661389,2,1,1,2,1,1
1573963,1,1,0,1,1,0
806109,16,1,15,13,1,12
1739341,1,0,1,1,0,1
544361,2,1,1,2,1,1
1379619,1,1,0,1,1,0
759852,5,1,4,0,0,0
760017,3,1,2,0,0,0
1109875,7,1,6,0,0,0
347989,1,0,1,0,0,0
348094,1,0,1,0,0,0
447375,1,1,0,0,0,0
447524,1,0,1,0,0,0
447607,1,1,0,0,0,0
447789,1,0,1,0,0,0
448142,1,0,1,0,0,0
448340,1,0,1,0,0,0
448530,2,1,1,0,0,0
448589,1,0,1,0,0,0
448738,1,0,1,0,0,0
448787,1,0,1,0,0,0
449058,4,1,3,0,0,0
454165,3,1,2,3,1,2
454173,4,1,3,4,1,3
454298,4,0,4,4,0,4
454322,1,0,1,1,0,1
454603,1,0,1,0,0,0
454934,2,1,1,0,0,0
466813,1,0,1,1,0,1
455048,1,0,1,0,0,0
455139,1,1,0,0,0,0
455436,1,0,1,0,0,0
484816,2,1,1,0,0,0
491555,1,0,1,0,0,0
580878,1,0,1,0,0,0
446047,2,0,2,0,0,0
576298,21,1,20,0,0,0
620138,9,1,8,9,1,8
860486,1,0,1,1,0,1
263731,1,0,1,1,0,1
520510,12,3,9,12,3,9
264077,8,1,7,8,1,7
258772,3,0,3,3,0,3
258905,1,0,1,1,0,1
554154,2,0,2,0,0,0
926501,6,2,4,0,0,0
403063,1,0,1,0,0,0
403394,4,1,3,0,0,0
222133,2,1,1,0,0,0
918276,1,1,0,0,0,0
1222652,5,2,3,0,0,0
222216,1,0,1,0,0,0
524926,5,3,2,0,0,0
222281,2,0,2,0,0,0
927244,1,1,0,0,0,0
222349,1,1,0,1,1,0
722975,3,2,1,3,2,1
535260,3,3,0,3,3,0
222471,1,1,0,1,1,0
917625,7,6,1,7,6,1
222497,1,0,1,1,0,1
222638,2,1,1,2,1,1
1222645,2,1,1,2,1,1
222745,1,0,1,0,0,0
1327113,2,1,1,0,0,0
222836,1,0,1,1,0,1
1739010,1,0,1,1,0,1
223354,17,1,16,17,1,16
926477,3,2,1,0,0,0
223818,1,1,0,0,0,0
918219,4,2,2,0,0,0
1417559,4,3,1,0,0,0
1756089,1,1,0,0,0,0
223990,2,1,1,2,1,1
747394,2,2,0,2,2,0
1384569,2,1,1,0,0,0
224451,9,1,8,9,1,8
224527,2,1,1,0,0,0
1223130,2,1,1,0,0,0
1223288,5,1,4,5,1,4
262675,5,1,4,5,1,4
516906,1,1,0,1,1,0
1106640,2,1,1,2,1,1
1222926,3,0,3,3,0,3
555235,4,1,3,4,1,3
554634,4,1,3,4,1,3
514265,2,0,2,2,0,2
1404557,1,1,0,0,0,0
1548247,1,1,0,0,0,0
553057,1,1,0,0,0,0
528927,5,1,4,5,1,4
513762,10,1,9,0,0,0
499046,1,0,1,0,0,0
527937,1,0,1,1,0,1
1377944,3,1,2,0,0,0
747279,2,2,0,0,0,0
1504919,1,1,0,0,0,0
722785,4,1,3,4,1,3
1327097,6,1,5,6,1,5
641241,3,2,1,3,2,1
641308,1,0,1,0,0,0
1377993,4,1,3,0,0,0
668905,2,0,2,0,0,0
691394,2,0,2,0,0,0
680520,1,1,0,1,1,0
1113828,1,1,0,1,1,0
1051358,1,0,1,0,0,0
917500,3,1,2,3,1,2
841163,1,1,0,1,1,0
1779347,2,1,1,2,1,1
836379,1,0,1,0,0,0
918268,4,1,3,0,0,0
917211,7,1,6,7,1,6
842344,1,0,1,1,0,1
1349455,1,0,1,1,0,1
1404524,2,1,1,0,0,0
